velocity,voltageSquared
1.3043,7.42098
1.92064,7.88155
2.29558,8.1299
2.685,8.34758
3.21666,8.63279
3.69759,8.82704
4.14697,9.00318
5.04869,9.34638
5.83261,9.60012
6.52001,9.8064
7.08668,9.9622
7.6562,10.11906
8.16516,10.24699
9.11344,10.47844
10.06028,10.70522
10.83179,10.87249
11.54364,11.00715
12.26597,11.17863
12.96565,11.30367
13.52749,11.4115
14.19191,11.52362
14.70845,11.61235
15.256,11.7132
16.2769,11.88133
17.25358,12.03974
18.05704,12.15927
